dataEfetiva,categoria,valorEfetivo,descricao
2025-07-10T00:00:00,1.1.5 Taxa de Espaço,11616.68,TAXA DE ESPAÇO 
2025-07-10T00:00:00,1.1.5 Taxa de Espaço,600.0,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,300.0,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,676.0,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,750.0,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,1000.0,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,1199.4,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,1600.0,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,1900.0,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,2388.0,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,2500.0,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,2500.0,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,2500.0,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,2985.0,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,3000.0,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,3383.0,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,3398.3,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,3804.0,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,4000.0,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,4400.0,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,5070.0,TAXA DE ESPAÇO 
2025-07-11T00:00:00,1.1.5 Taxa de Espaço,5325.0,TAXA DE ESPAÇO 
